nutrition_id,ingredient_id,ingredient_name,representative_food_name,standard_amount,energy_kcal,water_g,protein_g,fat_g,ash_g,carbohydrate_g,sugar_g,fiber_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,sodium_mg,cholesterol_mg,saturated_fat_g,trans_fat_g
nutrition_0163,ingredient_0163,딸기,딸기,100g,34.00,90.1,0.88,0.14,0.45,8.41,6.11,1.6,12.00,0.24,31.0,199.000,1.00,0.0,0.0,0.02
nutrition_0164,ingredient_0164,라임,라임,100g,30.00,88.26,0.7,0.2,0.3,10.54,1.69,2.8,33.00,0.6,18.0,102.000,2.00,0.0,0.0,0.02
nutrition_0165,ingredient_0165,레몬,레몬,100g,36.0,89.6,0.71,0.08,0.31,9.27,1.87,1.1,32.0,0.1,22.0,122.0,2.0,0.0,0.0,0.02
nutrition_0166,ingredient_0166,망고,망고,100g,59.00,83.5,0.73,0.12,0.32,15.36,13.65,1.5,7.00,0.24,16.0,142.000,0.00,0.0,0.0,0.03
nutrition_0167,ingredient_0167,매실,매실,100g,41.00,89.4,1.1,1.1,0.6,7.8,,,28.00,3.7,24.0,301.000,3.00,,,
nutrition_0168,ingredient_0168,멜론,멜론,100g,21.00,94.0,0.5,0.1,0.3,5.1,,1.2,9.00,0.4,8.0,137.000,13.00,,,
nutrition_0169,ingredient_0169,모과,모과,100g,78.00,78.3,0.7,0.4,0.6,20.0,,,21.00,0.5,18.0,247.000,2.00,,,
nutrition_0170,ingredient_0170,무화과,무화과,100g,47.00,86.5,0.79,0.15,0.44,12.12,10.59,1.3,41.00,0.33,19.0,176.000,0.00,0.0,0.0,0.03
nutrition_0171,ingredient_0171,바나나,바나나,100g,77.00,78.0,1.11,0.2,0.68,20.0,14.4,2.2,6.00,0.25,23.0,355.000,0.00,0.0,0.0,0.05
nutrition_0172,ingredient_0172,배,배,100g,45.00,86.9,0.29,0.04,0.52,12.24,8.3,1.1,2.00,0.06,13.0,124.000,0.00,0.0,0.0,0.01
nutrition_0173,ingredient_0173,복숭아,복숭아,100g,49.00,85.8,0.59,0.04,0.47,13.1,9.45,2.6,4.00,0.11,24.0,216.000,0.00,0.0,0.0,0.02
nutrition_0174,ingredient_0174,블루베리,블루베리,100g,43.00,88.1,0.5,0.12,0.16,11.11,7.86,2.4,9.00,0.23,12.0,70.00,0.00,0.0,0.0,0.02
nutrition_0175,ingredient_0175,사과,사과,100g,52.00,85.5,0.26,0.07,0.22,13.96,10.62,1.8,3.00,0.11,10.0,116.000,0.00,0.0,0.0,0.01
nutrition_0176,ingredient_0176,산딸기,산딸기,100g,55.00,84.5,1.35,0.22,0.38,13.55,7.8,6.9,29.00,0.34,33.0,154.000,0.00,0.0,0.0,0.04
nutrition_0177,ingredient_0177,석류,석류,100g,77.00,78.3,0.29,0.2,0.5,20.71,9.94,5.8,6.00,0.26,39.0,242.000,1.00,0.0,0.0,0.05
nutrition_0178,ingredient_0178,수박,수박,100g,31.00,91.1,0.79,0.05,0.23,7.83,5.06,0.2,6.00,0.18,12.0,109.000,0.00,0.0,0.0,0.02
nutrition_0179,ingredient_0179,아보카도,아보카도,100g,160.000,73.23,2.0,14.66,1.58,8.53,0.66,6.7,12.00,0.55,52.0,485.000,7.00,0.0,0.0,2.13
nutrition_0180,ingredient_0180,오디,오디,100g,56.00,84.3,0.8,0.4,0.5,14.0,,,36.00,0.7,33.0,272.000,1.00,,,
nutrition_0181,ingredient_0181,오렌지,오렌지,100g,47.0,86.5,1.15,0.11,0.4,11.86,9.16,1.3,44.0,0.17,23.0,152.0,2.0,0.0,0.0,0.01
nutrition_0182,ingredient_0182,자두,자두,100g,26.00,93.2,0.5,0.6,0.4,5.3,,,3.00,0.2,12.0,164.000,1.00,,,
nutrition_0183,ingredient_0183,자몽,액상차,100g,221.000,,0.52,0.19,,55.33,50.23,,,,,,0.00,,0.0,0.01
nutrition_0184,ingredient_0184,참외,참외,100g,40,88.1,0.59,0.04,0.74,10.49,8.82,1.1,5,0.16,26.0,388,2,0.0,0.01,0.0
nutrition_0185,ingredient_0185,청포도,포도,100g,47.0,86.8,0.41,0.03,0.13,12.63,7.94,0.6,4.0,0.07,11.0,79.0,0.0,0.0,0.0,0.01
nutrition_0186,ingredient_0186,체리,체리,100g,57.00,83.6,1.36,0.15,0.58,14.35,8.01,2.3,11.00,0.63,25.0,231.000,1.00,0.0,0.0,0.02
nutrition_0187,ingredient_0187,크랜베리,크랜베리,100g,46.00,87.32,0.46,0.13,0.12,11.97,4.27,3.6,8.00,0.23,11.0,80.00,2.00,0.0,0.0,0.01
nutrition_0188,ingredient_0188,키위,키위,100g,54.00,84.6,0.77,0.26,0.64,13.73,7.07,2.0,19.00,1.72,27.0,262.000,1.00,0.0,0.0,0.03
nutrition_0189,ingredient_0189,파인애플,파인애플,100g,53.00,85.1,0.48,0.06,0.3,14.05,10.92,1.3,13.00,0.14,6.0,113.000,0.00,0.0,0.0,0.01
nutrition_0190,ingredient_0190,포도,포도,100g,297.000,16.3,2.64,0.53,1.64,78.89,66.71,4.5,72.00,1.44,113.0,682.000,27.00,0.0,0.0,0.1
nutrition_0191,ingredient_0191,고사리,고사리,100g,22.00,92.3,2.9,0.17,0.83,3.8,0.2,3.4,9.00,0.88,67.0,305.000,0.00,0.0,0.0,0.1
nutrition_0192,ingredient_0192,곤드레,고려엉겅퀴(곤드레),100g,32,90.6,3.47,1.38,1.26,3.29,0.35,,269,2.04,26.0,312,0,0.0,0.07,0.0
nutrition_0193,ingredient_0193,삼나물,삼나물,100g,293.000,7.5,22.8,2.2,6.2,61.3,,,25.00,2.4,586.0,,,,,
nutrition_0194,ingredient_0194,시래기,무시래기,100g,27,92.0,1.81,0.39,0.47,5.34,0.04,4.9,114,1.74,15.0,124,3,0.0,0.06,0.0
nutrition_0195,ingredient_0195,무순,무순,100g,20.00,94.8,1.89,1.01,0.44,1.82,0.67,1.7,36.00,0.3,52.0,55.00,15.00,0.0,0.0,0.09
nutrition_0196,ingredient_0196,새싹,비타민채(다채),100g,15.00,94.5,2.26,0.5,1.27,1.44,0.0,0.9,142.000,9.74,53.0,391.000,31.00,0.0,0.0,0.03
nutrition_0197,ingredient_0197,견과류,견과류,100g,703.000,2.8,14.9,69.1,3.6,9.6,2.3,7.2,200.000,2.6,680.0,620.000,78.00,0.0,0.0,15.81
nutrition_0198,ingredient_0198,녹두,녹두,100g,352.000,9.4,24.51,1.52,4.42,60.15,0.0,22.4,100.000,4.11,441.0,"1,420.000",1.00,0.0,0.0,0.55
nutrition_0199,ingredient_0199,도토리,도토리,100g,230.000,44.9,4.4,3.0,1.1,46.7,,,16.00,0.6,84.0,,,,,
nutrition_0200,ingredient_0200,들깨,들깨,100g,530.000,4.6,22.68,39.74,3.72,29.26,1.46,22.0,391.000,7.74,716.0,583.000,1.00,0.0,0.0,2.94
nutrition_0201,ingredient_0201,땅콩,땅콩,100g,520.000,10.8,25.74,42.57,2.53,18.36,4.4,13.4,67.00,3.07,425.0,746.000,5.00,0.0,0.0,8.04
nutrition_0202,ingredient_0202,밤,밤,100g,153.000,61.5,3.16,0.74,1.12,33.46,6.3,6.0,21.00,0.91,69.0,442.000,1.00,0.0,0.0,0.12
nutrition_0203,ingredient_0203,은행,은행,100g,203.000,49.6,4.69,1.53,1.4,42.78,2.95,2.2,7.00,0.9,161.0,684.000,1.00,0.0,0.0,0.15
nutrition_0204,ingredient_0204,참깨,참깨,100g,549.000,2.7,20.85,44.12,5.88,26.45,0.0,22.4,"1,146.000",5.8,746.0,530.000,0.00,0.0,0.0,6.06
nutrition_0205,ingredient_0205,콩,콩(대두),100g,409.0,11.2,36.21,14.71,4.89,32.99,6.64,25.6,260.0,6.66,660.0,1838.0,2.0,0.0,0.0,2.07
nutrition_0206,ingredient_0206,팥,팥,100g,330.000,16.1,20.63,0.96,3.54,58.72,0.43,15.8,72.00,4.81,394.0,"1,181.000",10.00,0.0,0.0,0.27
nutrition_0207,ingredient_0207,느타리버섯,느타리버섯,100g,15,91.9,2.6,0.14,0.67,4.7,0.74,2.9,,0.78,100.0,256,2,0.0,0.03,0.0
nutrition_0208,ingredient_0208,만가닥버섯,만가닥버섯,100g,19,89.9,2.5,0.34,0.94,6.34,0.37,3.4,1,0.51,83.0,348,2,0.0,0.05,0.0
nutrition_0209,ingredient_0209,새송이버섯,큰느타리버섯(새송이버섯),100g,20,89.6,2.91,0.19,0.7,6.56,0.33,3.2,1,0.35,92.0,299,5,0.0,0.04,0.0
nutrition_0210,ingredient_0210,팽이버섯,팽이버섯,100g,21,89.0,2.48,0.52,0.92,7.08,0.37,3.8,1,1.1,83.0,364,3,0.0,0.04,0.0
nutrition_0211,ingredient_0211,표고버섯,표고버섯,100g,26,86.2,4.44,0.32,1.01,8.03,0.4,4.9,2,0.37,132.0,356,2,0.0,0.05,0.0
nutrition_0212,ingredient_0212,가지,가지,100g,19.00,93.9,1.13,0.03,0.58,4.36,2.32,2.7,16.00,0.26,35.0,232.000,0.00,0.0,0.0,0.03
nutrition_0213,ingredient_0213,고수,고수(향채),100g,33,87.9,4.6,0.2,1.7,5.6,,,46,21.4,26.0,299,5,,,
nutrition_0214,ingredient_0214,고추,고추,100g,21.00,92.9,2.6,0.1,0.6,3.8,,,39.00,8.5,61.0,,,,,
nutrition_0215,ingredient_0215,깻잎,들깨,100g,47.00,84.3,4.46,0.5,1.85,8.89,0.0,5.7,296.000,1.91,83.0,421.000,1.00,0.0,0.0,0.14
nutrition_0216,ingredient_0216,냉이,냉이,100g,37.00,87.7,3.81,0.42,1.37,6.74,0.77,4.5,322.000,9.49,81.0,332.000,8.00,0.0,0.0,0.07
nutrition_0217,ingredient_0217,단호박,호박,100g,57.0,83.6,1.19,0.65,0.93,13.63,4.74,5.0,12.0,0.36,37.0,419.0,0.0,0.0,0.0,0.12
nutrition_0218,ingredient_0218,달래,달래,100g,56.00,83.0,2.35,0.31,0.94,13.41,2.83,2.9,83.00,1.78,45.0,316.000,4.00,0.0,0.0,0.06
nutrition_0219,ingredient_0219,당근,당근,100g,31.00,91.1,1.02,0.13,0.72,7.03,6.23,3.1,24.00,0.28,42.0,299.000,23.00,0.0,0.0,0.03
nutrition_0220,ingredient_0220,더덕,더덕,100g,80.00,78.7,2.28,0.76,0.69,17.58,4.86,8.2,30.00,0.74,75.0,226.000,0.00,0.0,0.0,0.03
nutrition_0221,ingredient_0221,도라지,도라지,100g,65.00,82.0,2.01,0.15,0.74,15.15,1.14,4.2,40.00,0.32,67.0,231.000,3.00,0.0,0.0,0.03
nutrition_0222,ingredient_0222,돌나물,돌나물,100g,15,94.7,1.19,0.08,0.8,3.23,0.0,1.0,190,0.77,19.0,198,0,0.0,0.02,0.0
nutrition_0223,ingredient_0223,두릅,두릅,100g,25.00,91.4,2.4,0.22,1.19,4.79,0.81,4.4,80.00,8.0,67.0,456.000,2.00,0.0,0.0,0.07
nutrition_0224,ingredient_0224,로메인,상추,100g,18.00,94.1,1.66,0.31,0.86,3.11,0.5,1.9,103.000,0.51,30.0,245.000,10.00,0.0,0.0,0.04
nutrition_0225,ingredient_0225,루꼴라,루꼴라,100g,26.00,90.8,3.17,0.43,1.39,4.2,0.97,1.3,159.000,1.5,57.0,524.000,13.00,0.0,0.0,0.06
nutrition_0226,ingredient_0226,마늘,마늘,100g,99.00,72.8,5.0,0.27,1.38,20.55,2.11,3.0,9.00,0.6,120.0,410.000,199.000,0.0,0.0,0.05
nutrition_0227,ingredient_0227,머위,머위,100g,17.00,93.5,2.31,0.14,1.31,2.74,0.07,2.7,103.000,1.05,50.0,530.000,2.00,0.0,0.0,0.03
nutrition_0228,ingredient_0228,무,무,100g,21.00,93.8,0.77,0.15,0.55,4.72,2.96,1.1,22.00,0.16,33.0,279.000,13.00,0.0,0.0,0.02
nutrition_0229,ingredient_0229,미나리,미나리,100g,120.000,65.8,0.36,0.0,0.36,33.48,28.49,1.4,31.00,0.11,24.0,124.000,6.00,0.0,0.0,0.0
nutrition_0230,ingredient_0230,배추,배추,100g,15.00,94.7,1.25,0.06,0.66,3.32,1.71,1.3,52.00,0.36,41.0,262.000,8.00,0.0,0.0,0.01
nutrition_0231,ingredient_0231,부추,부추,100g,46.00,86.1,1.2,0.1,0.7,11.9,,,107.000,3.1,45.0,251.000,2.00,,,
nutrition_0232,ingredient_0232,브로콜리,브로콜리,100g,32.00,89.4,3.08,0.2,1.0,6.32,0.79,3.1,39.00,0.8,68.0,365.000,3.00,0.0,0.0,0.08
nutrition_0233,ingredient_0233,상추,상추,100g,14.00,95.5,1.1,0.3,0.7,2.4,,,41.00,1.5,20.0,379.000,5.00,,,
nutrition_0234,ingredient_0234,생강,생강,100g,42.00,88.2,0.97,0.15,0.86,9.82,0.45,2.6,18.00,0.95,33.0,337.000,4.00,0.0,0.0,0.06
nutrition_0235,ingredient_0235,숙주나물,숙주나물,100g,13,95.6,1.73,0.05,0.28,2.34,0.0,1.7,13,0.22,27.0,84,4,0.0,0.03,0.0
nutrition_0236,ingredient_0236,시금치,시금치,100g,29.00,89.6,3.35,0.39,1.79,4.86,0.4,3.1,66.00,2.49,75.0,691.000,23.00,0.0,0.0,0.09
nutrition_0237,ingredient_0237,쑥갓,쑥갓,100g,15.00,94.6,1.93,0.17,0.95,2.35,0.0,2.4,91.00,0.79,36.0,239.000,145.000,0.0,0.0,0.04
nutrition_0238,ingredient_0238,아스파라거스,아스파라거스,100g,17.00,94.5,2.02,0.34,0.61,2.53,1.35,1.7,11.00,0.47,55.0,293.000,3.00,0.0,0.0,0.05
nutrition_0239,ingredient_0239,애호박,채소가공품,100g,16.00,,1.2,0.2,,3.3,0.0,,,,,,6.00,,0.0,0.0
nutrition_0240,ingredient_0240,양배추,양배추,100g,29.00,91.0,1.36,0.12,0.58,6.98,4.4,2.5,45.00,0.22,32.0,252.000,9.00,0.0,0.0,0.03
nutrition_0241,ingredient_0241,양상추,상추,100g,14,95.6,0.72,0.08,0.26,3.37,1.77,1.5,26,0.35,22.0,155,4,0.0,0.01,0.0
nutrition_0242,ingredient_0242,양파,양파,100g,29.00,92.0,0.96,0.17,0.33,6.52,4.71,1.6,16.00,0.2,27.0,148.000,2.00,0.0,0.0,0.01
nutrition_0243,ingredient_0243,연근,연근,100g,75.00,80.0,1.63,0.07,1.02,17.28,1.81,3.3,28.00,0.8,75.0,478.000,21.00,0.0,0.0,0.02
nutrition_0244,ingredient_0244,열무,열무,100g,14.00,94.8,1.86,0.22,0.98,2.18,0.38,1.8,127.000,1.13,41.0,329.000,73.00,0.0,0.0,0.04
nutrition_0245,ingredient_0245,오이,오이,100g,13.00,95.7,1.06,0.05,0.43,2.79,1.51,0.6,18.00,0.2,39.0,196.000,3.00,0.0,0.0,0.01
nutrition_0246,ingredient_0246,우엉,우엉,100g,69.00,81.0,2.61,0.06,1.04,15.29,2.87,4.6,46.00,0.8,87.0,406.000,6.00,0.0,0.0,0.02
nutrition_0247,ingredient_0247,인삼,인삼,100g,316.000,10.1,15.7,0.5,3.9,69.8,,,227.000,33.5,385.0,,,,,
nutrition_0248,ingredient_0248,죽순,죽순,100g,24.00,91.6,3.48,0.22,0.93,3.77,1.11,2.8,14.00,0.39,66.0,468.000,0.00,0.0,0.0,0.07
nutrition_0249,ingredient_0249,참나물,참나물,100g,20,92.8,1.58,0.19,1.34,4.09,0.0,2.6,57,1.38,48.0,582,18,0.0,0.04,0.0
nutrition_0250,ingredient_0250,청경채,청경채,100g,10.00,95.9,1.41,0.09,0.96,1.64,0.0,1.2,87.00,0.38,40.0,366.000,17.00,0.0,0.0,0.02
nutrition_0251,ingredient_0251,치커리,치커리,100g,72.00,80.0,1.4,0.2,0.89,17.51,8.73,1.5,41.00,0.8,61.0,290.000,50.00,0.0,0.0,0.05
nutrition_0252,ingredient_0252,케일,케일,100g,26.00,89.9,3.11,0.24,2.14,4.61,0.0,3.2,328.000,0.81,61.0,594.000,47.00,0.0,0.0,0.05
nutrition_0253,ingredient_0253,콩나물,콩나물,100g,43.00,90.1,4.66,1.19,0.64,3.44,0.47,2.2,41.00,0.63,79.0,218.000,3.00,0.0,0.0,0.23
nutrition_0254,ingredient_0254,토란,토란,100g,71.00,80.8,2.08,0.14,1.21,15.77,0.0,2.8,11.00,0.59,55.0,520.000,2.00,0.0,0.0,0.05
nutrition_0255,ingredient_0255,토란대,토란대,100g,16.00,94.6,0.28,0.05,0.82,4.25,1.52,1.3,65.00,0.35,21.0,430.000,1.00,0.0,0.0,0.02
nutrition_0256,ingredient_0256,토마토,토마토,100g,19.00,93.9,1.03,0.18,0.63,4.26,2.37,2.6,9.00,0.19,29.0,250.000,2.00,0.0,0.0,0.04
nutrition_0257,ingredient_0257,파,파,100g,29.00,91.4,1.2,0.2,0.5,6.7,,,25.00,1.0,26.0,239.000,17.00,,,
nutrition_0258,ingredient_0258,파프리카,파프리카(착색단고추),100g,24,92.4,1.02,0.12,0.58,5.88,5.26,1.3,7,0.51,22.0,269,0,0.0,0.04,0.0
nutrition_0259,ingredient_0259,호박,호박,100g,38.00,89.7,4.5,1.7,0.5,3.6,,,5.00,0.7,148.0,130.000,4.00,,,
nutrition_0260,ingredient_0260,꽃게,게류,100g,77.00,80.6,16.19,0.7,2.08,0.43,0.41,0.0,127.000,0.74,137.0,216.000,418.000,0.0,30.36,0.17
nutrition_0261,ingredient_0261,대게,게류,100g,85,79.7,17.4,1.0,1.4,0.5,0.5,0.0,158,0.5,114.0,,,,,
nutrition_0262,ingredient_0262,대하,새우류,100g,82,80.0,18.1,0.6,1.2,0.1,0.1,0.0,74,1.4,210.0,,,,,
nutrition_0263,ingredient_0263,새우,새우류,100g,109,75.9,21.17,0.89,0.33,0.0,,0.0,49,0.89,241.0,330,122,,0.25,0.01
nutrition_0264,ingredient_0264,홍게,게류,100g,48,87.0,10.5,0.3,1.9,0.3,0.3,0.0,211,1.5,312.0,,,,,
nutrition_0265,ingredient_0265,해삼,해삼,100g,25,91.2,4.4,0.3,3.3,0.8,0.8,0.0,83,1.26,62.0,,,,,
nutrition_0266,ingredient_0266,가자미,가자미류,100g,143,72.3,22.1,3.7,1.6,0.3,,,40,0.7,196.0,377,230,,,
nutrition_0267,ingredient_0267,감성돔,돔류,100g,101,76.7,18.8,2.3,2.1,0.1,0.1,0.0,24,1.15,197.0,,,,0.64,
nutrition_0268,ingredient_0268,고등어,고등어류,100g,183,68.1,20.2,10.4,1.3,0.0,0.0,0.0,26,1.6,232.0,,,,,
nutrition_0269,ingredient_0269,농어,농어류,100g,92,78.5,19.42,1.09,1.04,0.0,,,,,,,,,,
nutrition_0270,ingredient_0270,대구,대구류,100g,90,80.5,18.2,0.43,1.37,0.0,0.0,0.0,33,1.17,219.0,403,97,,0.16,0.0
nutrition_0271,ingredient_0271,도다리,도다리류,100g,86,79.4,19.52,0.36,0.84,0.0,,,7,0.08,184.0,202,67,48.97,0.12,
nutrition_0272,ingredient_0272,동태,명태,100g,80,82.3,15.9,0.5,1.2,0.1,,,48,0.2,200.0,238,210,,,
nutrition_0273,ingredient_0273,메기,메기,100g,98,79.8,16.89,2.81,1.06,0.0,,,,,,,,,,
nutrition_0274,ingredient_0274,명태,명태,100g,80.00,82.3,15.9,0.5,1.2,0.1,,,48.00,0.2,200.0,238.000,210.000,,,
nutrition_0275,ingredient_0275,미꾸라지,기름종개류,100g,144,73.2,17.08,7.44,1.92,0.35,,,,,,,,,,
nutrition_0276,ingredient_0276,민물장어,장어류,100g,233,63.3,18.46,15.73,0.66,1.81,,,,,,,,,,
nutrition_0277,ingredient_0277,민어,민어,100g,89,78.8,14.31,1.21,1.52,4.16,,,,,,,,,,
nutrition_0278,ingredient_0278,방어,방어류,100g,142,72.3,20.99,5.64,1.97,0.0,,,,,,,,,,
nutrition_0279,ingredient_0279,밴댕이,밴댕이,100g,225.000,65.8,16.3,16.5,1.2,0.2,,,175.000,1.9,183.0,,,,,
nutrition_0280,ingredient_0280,뱀장어,장어류,100g,233,63.3,18.46,15.73,0.66,1.81,,,,,,,,,,
nutrition_0281,ingredient_0281,병어,병어,100g,95,78.7,18.07,1.5,0.68,1.07,,,16,0.24,225.0,386,121,35.32,0.46,0.0
nutrition_0282,ingredient_0283,붕장어,장어류,100g,110,77.7,19.23,3.07,1.23,0.0,,,,,,,,,,
nutrition_0283,ingredient_0284,삼치,삼치류,100g,124,76.0,20.08,2.93,2.05,0.0,0.0,0.0,5,0.1,211.0,387,39,,0.75,0.03
nutrition_0284,ingredient_0285,서대,서대류,100g,84,79.1,18.6,0.4,1.4,0.5,0.5,0.0,19,1.02,208.0,,,,0.13,
nutrition_0285,ingredient_0286,송어,송어류,100g,166,69.7,20.6,8.28,1.58,0.31,,,97,3.4,1971.0,3480,282,56.69,1.59,0.01
nutrition_0286,ingredient_0287,숭어,숭어류,100g,119,74.1,21.7,1.5,2.3,0.4,,0.0,42,1.0,217.0,,,,,
nutrition_0287,ingredient_0288,아귀,아귀류,100g,63,84.0,14.1,0.2,1.2,0.5,0.5,0.0,10,2.51,150.0,,,,,
nutrition_0288,ingredient_0289,임연수어,임연수어,100g,161,72.9,17.56,9.23,1.31,0.0,,,6,0.37,212.0,320,75,10.92,1.54,0.01
nutrition_0289,ingredient_0290,전갱이,전갱이류,100g,148,72.6,20.7,4.8,1.8,0.1,,0.0,24,0.9,208.0,,,,,
nutrition_0290,ingredient_0291,조피볼락,볼락류,100g,102,76.8,18.41,2.26,1.24,0.0,0.0,0.0,44,0.44,243.0,435,47,,0.56,0.03
nutrition_0291,ingredient_0292,참다랑어,다랑어류,100g,196,67.1,23.99,8.09,0.81,0.0,,0.0,27,1.98,235.0,332,62,,3.05,0.14
nutrition_0292,ingredient_0293,참돔,돔류,100g,98,77.3,20.73,1.16,1.25,0.0,,,,,,,,,,
nutrition_0293,ingredient_0294,참조기,조기류,100g,131,76.3,19.02,4.04,1.3,0.0,0.0,0.0,19,0.43,158.0,329,51,,1.11,0.06
nutrition_0294,ingredient_0295,청어,청어,100g,177,70.5,17.6,10.96,1.22,0.0,,,,,,,,,,
nutrition_0295,ingredient_0296,홍어,홍어류,100g,120,76.2,25.75,1.23,1.2,0.0,,,,,,,,,,
nutrition_0296,ingredient_0297,가리비관자,원재료성 수산가공품,100g,106.000,,10.0,10.0,,0.0,0.0,,,,,,10.00,,20.0,5.0
nutrition_0297,ingredient_0298,가쓰오부시,조미건어포,100g,360.000,,74.0,7.0,,0.0,0.0,,,,,,140.000,,0.0,3.0
nutrition_0298,ingredient_0299,각시수염고둥,골뱅이,100g,76.00,72.0,15.0,0.0,1.86,4.0,3.78,0.0,31.00,0.95,96.0,82.00,480.000,0.0,0.0,55.0
nutrition_0299,ingredient_0300,건새우,기타 수산가공품,100g,204.0,,44.2,2.8,,0.5,0.0,,,,,,4950.0,,0.0,0.8
nutrition_0300,ingredient_0301,과메기,꽁치,100g,421,35.5,32.1,29.9,1.6,0.9,,,90,2.7,,,,,,
nutrition_0301,ingredient_0302,굴비,기타 수산가공품,100g,332.000,,44.4,15.1,,0.4,0.0,,,,,,412.000,,0.0,0.0
nutrition_0302,ingredient_0303,날치알,원재료성 수산가공품,100g,95.0,,11.0,3.0,,7.0,2.0,,,,,,660.0,,280.0,1.4
nutrition_0303,ingredient_0304,냉동새우,원재료성 수산가공품,100g,59.00,,11.87,0.62,,0.73,0.22,,,,,,697.000,,110.6,0.18
nutrition_0304,ingredient_0305,마른오징어,조미건어포,100g,310.000,,47.0,1.8,,26.0,20.0,,,,,,"1,080.000",,160.0,1.0
nutrition_0305,ingredient_0306,멸치,멸치,100g,310,22.5,60.29,5.42,10.83,0.99,,,1857,5.77,1564.0,1039,1455,153.64,1.09,0.01
nutrition_0306,ingredient_0307,명엽채,조미건어포,100g,301.000,18.0,7.71,0.68,7.61,65.99,32.58,3.3,229.000,0.56,603.0,42.00,"2,794.000",0.0,0.0,2.29
nutrition_0307,ingredient_0308,북어,명태,100g,339,18.3,73.18,3.09,5.14,0.32,0.0,,281,1.25,700.0,1154,464,,0.78,0.04
nutrition_0308,ingredient_0309,어묵,어묵,100g,112.000,70.6,10.8,0.8,2.6,15.2,,,218.000,0.8,199.0,108.000,792.000,,,
nutrition_0309,ingredient_0310,연어,연어,100g,195.000,63.95,21.18,12.08,2.4,0.39,0.2,0.0,13.00,0.2,214.0,376.000,591.000,4.98,45.14,2.13
nutrition_0310,ingredient_0311,쥐치포,쥐치류,100g,376,15.0,41.8,2.3,6.6,34.3,,,126,4.7,235.0,503,1504,,,
nutrition_0311,ingredient_0312,크래미,어묵,100g,144.0,75.2,6.77,1.5,2.77,25.4,3.4,0.0,288.0,0.18,124.0,73.0,610.0,0.0,4.24,0.0
nutrition_0312,ingredient_0313,해물믹스,원재료성 수산가공품,100g,52.00,,8.9,1.3,,1.1,0.0,,,,,,134.000,,85.0,0.3
nutrition_0313,ingredient_0314,황태,명태,100g,339,18.3,73.18,3.09,5.14,0.32,0.0,,281,1.25,700.0,1154,464,,0.78,0.04
nutrition_0314,ingredient_0315,황태채,조미건어포,100g,330.000,,74.5,2.2,,3.1,1.5,,,,,,550.000,,390.0,0.6
nutrition_0315,ingredient_0316,훈제연어,연어,100g,195.000,63.95,21.18,12.08,2.4,0.39,0.2,0.0,13.00,0.2,214.0,376.000,591.000,4.98,45.14,2.13
nutrition_0316,ingredient_0317,갑오징어,갑오징어류,100g,84,80.6,17.3,0.2,1.7,0.2,,,13,0.4,281.0,,,,,
nutrition_0317,ingredient_0318,낙지,문어류,100g,81,80.7,16.3,0.43,2.19,0.0,0.2,0.0,26,1.48,166.0,237,479,,0.16,0.01
nutrition_0318,ingredient_0319,문어,문어류,100g,78,81.1,16.4,0.7,1.7,0.1,,0.0,16,0.6,160.0,290,280,,0.07,
nutrition_0319,ingredient_0320,오징어,오징어류,100g,98,76.4,19.58,1.03,1.68,1.34,,,,,,,,,,
nutrition_0320,ingredient_0321,한치,오징어류,100g,90,81.3,14.9,1.8,1.7,0.3,,,12,0.4,267.0,113,258,,,
nutrition_0321,ingredient_0322,굴,굴류,100g,51,87.3,6.08,1.17,1.94,3.51,,,,,,,,,,
nutrition_0322,ingredient_0323,꼬막,꼬막류,100g,97,78.6,12.88,2.3,1.04,5.16,,,100,11.19,132.0,198,211,68.9,0.37,
nutrition_0323,ingredient_0324,다슬기,다슬기류,100g,93,76.5,12.02,1.47,3.12,6.86,,,,,,,,,,
nutrition_0324,ingredient_0325,멍게,멍게류,100g,44,87.7,6.7,0.6,3.4,1.6,,,49,16.4,94.0,,,,,
nutrition_0325,ingredient_0326,바지락,바지락,100g,82,80.4,12.27,0.93,3.2,3.2,0.75,0.0,70,2.68,129.0,121,383,,0.23,0.03
nutrition_0326,ingredient_0327,재첩,재첩,100g,94,77.5,12.5,1.9,2.3,5.8,5.8,0.0,181,21.0,213.0,,,,,
nutrition_0327,ingredient_0328,전복,전복류,100g,84,81.5,10.69,2.97,2.19,2.7,,,,,,,,,,
nutrition_0328,ingredient_0329,조개,바지락,100g,101.000,76.9,11.94,1.74,1.16,8.28,,,,,,,,,,
nutrition_0329,ingredient_0330,키조개,키조개,100g,57,86.5,10.3,1.1,1.3,0.8,0.8,0.0,38,8.2,128.0,,,,,
nutrition_0330,ingredient_0331,홍가리비,가리비류,100g,89,81.6,15.18,1.73,1.69,0.0,0.22,0.0,65,2.95,110.0,221,735,,0.19,0.02
nutrition_0331,ingredient_0332,건다시마,기타 수산가공품,100g,167.000,,6.0,1.0,,30.0,0.0,,,,,,"1,900.000",,0.0,0.0
nutrition_0332,ingredient_0333,건미역,원재료성 수산가공품,100g,190.000,,13.5,1.7,,40.1,0.0,,,,,,"5,375.000",,0.0,0.0
nutrition_0333,ingredient_0334,김,김류,100g,12,90.5,3.3,0.4,3.8,2.0,1.7,0.3,490,4.5,474.0,,,,,
