영양DB대분류,영양DB중분류,영양DB소분류,영양식품코드,영양식품명,영양DB그룹명,영양식품세분류명,원재료명,원재료명이명,기존표시명,분류기준,데이터출처구분,제철시기(월),보관,손질,세척,신선도체크,대표식품명,영양성분기준량,에너지_kcal,수분_g,단백질_g,지방_g,회분_g,탄수화물_g,당류_g,식이섬유_g,칼슘_mg,철_mg,인_mg,칼륨_mg,나트륨_mg,콜레스테롤_mg,포화지방산_g,트랜스지방산_g,보관출처명,보관출처URL,손질출처명,손질출처URL,세척출처명,세척출처URL,신선도출처명,신선도출처URL,영양출처명,제철시기출처명,제철시기출처URL
과일류,단감,해당없음,R108-001010001-0000,감_단감_생것,원재료성 식품,생것,단감,단감 / 돌감나무 / 산감나무,단감,과일류,영양+가이드,"11

1","감을 보관하기에 좋은 온도는 0~2℃이므로 차가운 곳에 보관하는 것이 좋다. 실내 온도가 맞지 않는다면 비닐팩에 넣어 냉장고에 보관하는 것이 가장 적당하다. 떫은맛이 가시지 않은 감은 종이로 하나씩 싸서 서늘하고 그늘진 곳에 2~3주 정도 보관하면 달고 맛있는 감이 된다. 종이상자나 장독에 감 30개 정도를 넣고 그 사이사이에 4등분한 사과 한 개를 넣어 공기가 들어가지 않도록 한 후 따뜻한 곳에 보관하면 3~4일 후 홍시로 변하며, 냉동실에 보관하여 아이스 홍시로도 즐길 수 있다.

곶감은 서늘하고 통풍이 잘되는 곳에 보관하거나 장기간 보관할 경우 비닐 팩 등에 담아 냉동실에 보관하여 하나씩 꺼내 먹는 것이 좋다.","단감은 흐르는 물에 깨끗이 씻은 다음 꼭지를 따고 4등분해 먹거나 각종 요리에 응용한다. 이때 네 개의 홈을 따라 대각선으로 자르면 씨에 닿지 않게 나눌 수 있고, 안쪽의 스폰지 같은 부분은 도려낸다. 단감의 껍질에는 페놀 성분이 함유되어 있어 암 등 각종 질병의 원인이 되는 활성산소를 억제하는 효과가 있으므로 깨끗이 씻어 껍질째 먹는 것이 가장 좋다.","흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.","단감은 꼭지와 과실 사이에 틈이 없이 붙어 있어야 한다. 전체적으로 얼룩이 없고 만졌을 때 과육이 단단한 것을 고르는 것이 좋다.

곶감을 고를 때는 곰팡이가 없이 깨끗한 것을 선택하고 색이 매우 검거나 지나치게 무른 것, 딱딱한 것은 피하는 것이 좋다.",감,100g,57,84.1,0.38,0.12,0.32,15.13,11.42,1.9,8,0.08,19.0,157,1,0.0,0.02,0.0,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=132&menuId=PS03599 / view?fd_se=286&fd_snn=1&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=132&menuId=PS03599 / view?fd_se=286&fd_snn=1&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=132&menuId=PS03599 / view?fd_se=286&fd_snn=1&menuId=PS03599,농촌진흥청(국가표준식품성분표),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
과일류,해당없음,해당없음,R108-016000001-0000,대추_생것,원재료성,생것,대추,대추 / 대추나무 / 묏대추나무,대추,과일류,영양+가이드,11,깨끗이 세척한 대추는 물기를 잘 말린 뒤 대추씨를 제거하고 필요한 만큼 비닐에 나눠 잘 밀봉하여 냉동 보관한다. 냄새가 배지 않도록 주의한다.,물에 담가 먼지를 씻어내고 마른 수건으로 물기를 제거한 후 사용한다.,"흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.",마른 대추는 색이 연한 황갈색으로 선명하고 윤이 나며 껍질이 깨끗한 것이 좋다. 대추껍질은 붉은색이고 속은 황백색이다. 크기가 적당히 굵고 주름이 고르며 눌렀을 때 탄력이 느껴지는 것을 고른다. 한 움큼 쥐고 흔들었을 때 속의 씨가 움직이는 소리가 나지 않는 것이 잘 곰팡이가 피지 않은 것이다. 국내산은 대부분 꼭지가 붙어 있고 과육과 씨가 잘 분리되지 않는다.,대추,100g,105.000,70.2,1.45,0.1,0.69,27.56,24.34,3.0,14.00,0.28,42.0,310.000,1.00,0.0,0.0,0.03,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=135&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=135&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=135&menuId=PS03599,농진청('14),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
과일류,해당없음,해당없음,R108-019000001-0000,"딸기, 죽향, 생것",원재료성,생것,딸기,딸기 / 양딸기,딸기,과일류,영양+가이드,2,구입 후 빨리 먹는 것이 좋으나 보관할 경우 랩을 씌워 보관한다. 랩을 씌우지 않으면 수분 증발로 빨리 시들어진다. 딸기는 상온에서 하루 이상 보존하기 어렵기 때문에 가능한 그때그때 섭취할 만큼 구입하는 것이 좋다.,"흐르는 물에 빨리 씻어 소쿠리에 담아 물기를 제거하며 꼭지를 떼지 않고 씻는다. 물에 장기간 접촉하면 금방 시들고 비타민 C와 향이 사라지며, 꼭지를 떼고 씻으면 비타민 C가 파괴된다.",물에 1분 동안 담근 후 흐르는 물에 30초 이상 헹군다.,모양이 예쁘고 광택이 있으며 색깔이 곱고 붉은 기가 꼭지 부위까지 퍼져 있는 것이 좋다. 꼭지가 초록빛을 띠고 싱싱하며 독특한 향이 진하다. 꼭지가 마르지 않고 파릇하며 꽃받침이 뒤집혀 있는 것이 좋다. 울퉁불퉁하고 표면의 씨가 심하게 튀어나온 것은 피한다.,딸기,100g,34.00,90.1,0.88,0.14,0.45,8.41,6.11,1.6,12.00,0.24,31.0,199.000,1.00,0.0,0.0,0.02,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=20&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=20&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=20&menuId=PS03599,농진청(’23) ,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
과일류,해당없음,해당없음,R108-022000001-0000,라임_생것,원재료성,생것,라임,라임,라임,과일류,영양만 있음,,"수분을 제거한 귤은 박스에 신문지와 귤의 순서로 쌓아두고 바람이 잘 드는 서늘한 곳에 보관하는 것이 좋다. 귤이 서로 맞닿지 않게 하나씩 떨어뜨려 보관해야 상하지 않고 오래 보관할 수 있다.

서늘하고 통풍이 잘되는 상온에 보관한다. 보관할수록 맛이 좋아진다.","물 1L에 소금 2큰술을 희석시켜 3~5분간 씻은 다음 물기를 제거하면 농약도 없앨 수 있고 신선도를 유지할 수 있다.

식초나 소금으로 문질러 농약을 제거하여 이용한다. 연한 농도의 소금물에 1~2분가량 담가두면 보관 기간을 늘릴 수 있고, 더불어 농약까지 제거하는 효과가 있다.","흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.","껍질이 얇고 껍질과 육질 사이에 공간이 없이 밀착된 것이 좋다. 꼭지 부분이 튀어나온 것보다 좌우로 둥글고 납작한 것이 당도가 높다. 감귤의 색깔은 짙은 주황색이며, 꼭지는 녹색이면서 단단하게 붙어 있는 것이 싱싱하다. 껍질에 지나치게 윤이 나는 것은 인공적으로 숙성시킨 후 코팅한 것이므로 피하는 것이 좋다.

껍질이 들뜨거나 주름이 많은 것은 싱겁거나 신맛이 강한 경우가 많으므로 피하는 것이 좋다. 껍질이 얇은 것이 당도가 높다. 금방 수확한 것은 푸석하고 즙이 적으므로 피하는 것이 좋다. 손으로 들었을 때 묵직한 느낌이 들고 위아래가 타원형인 것을 선택한다.",라임,100g,30.00,88.26,0.7,0.2,0.3,10.54,1.69,2.8,33.00,0.6,18.0,102.000,2.00,0.0,0.0,0.02,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=144&menuId=PS03599 / view?fd_se=286&fd_snn=13&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=144&menuId=PS03599 / view?fd_se=286&fd_snn=13&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=144&menuId=PS03599 / view?fd_se=286&fd_snn=13&menuId=PS03599,USDA(’18),,
과일류,해당없음,해당없음,R108-024000001-0000,레몬_생것,원재료성,생것,레몬,레몬 / 레몬껍질 / 레몬제스트,레몬,과일류,영양만 있음,,"수분을 제거한 귤은 박스에 신문지와 귤의 순서로 쌓아두고 바람이 잘 드는 서늘한 곳에 보관하는 것이 좋다. 귤이 서로 맞닿지 않게 하나씩 떨어뜨려 보관해야 상하지 않고 오래 보관할 수 있다.

서늘하고 통풍이 잘되는 상온에 보관한다. 보관할수록 맛이 좋아진다.","물 1L에 소금 2큰술을 희석시켜 3~5분간 씻은 다음 물기를 제거하면 농약도 없앨 수 있고 신선도를 유지할 수 있다.

식초나 소금으로 문질러 농약을 제거하여 이용한다. 연한 농도의 소금물에 1~2분가량 담가두면 보관 기간을 늘릴 수 있고, 더불어 농약까지 제거하는 효과가 있다.","흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.","껍질이 얇고 껍질과 육질 사이에 공간이 없이 밀착된 것이 좋다. 꼭지 부분이 튀어나온 것보다 좌우로 둥글고 납작한 것이 당도가 높다. 감귤의 색깔은 짙은 주황색이며, 꼭지는 녹색이면서 단단하게 붙어 있는 것이 싱싱하다. 껍질에 지나치게 윤이 나는 것은 인공적으로 숙성시킨 후 코팅한 것이므로 피하는 것이 좋다.

껍질이 들뜨거나 주름이 많은 것은 싱겁거나 신맛이 강한 경우가 많으므로 피하는 것이 좋다. 껍질이 얇은 것이 당도가 높다. 금방 수확한 것은 푸석하고 즙이 적으므로 피하는 것이 좋다. 손으로 들었을 때 묵직한 느낌이 들고 위아래가 타원형인 것을 선택한다.",레몬,100g,36.0,89.6,0.71,0.08,0.31,9.27,1.87,1.1,32.0,0.1,22.0,122.0,2.0,0.0,0.0,0.02,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=144&menuId=PS03599 / view?fd_se=286&fd_snn=13&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=144&menuId=PS03599 / view?fd_se=286&fd_snn=13&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=144&menuId=PS03599 / view?fd_se=286&fd_snn=13&menuId=PS03599,농진청('14),,
과일류,해당없음,해당없음,R108-028000001-0000,망고_생것,원재료성,생것,망고,망고,망고,과일류,영양만 있음,,실온에서 약 18도에 3~4일 숙성한 뒤 먹는다. 먹기 좋게 익은 망고는 신문지에 감싸 냉장 보관한다.,,"흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.",,망고,100g,59.00,83.5,0.73,0.12,0.32,15.36,13.65,1.5,7.00,0.24,16.0,142.000,0.00,0.0,0.0,0.03,"농촌진흥청 국립원예특작과학원 보도자료(더 오래 신선하게 똑똑한 과일, 채소 보관법, 2023-09-26)",C:\Users\Playdata\Downloads\27-3_더오래신선하게똑똑한과일채소보관법(원예원).pdf,,,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,농진청(’20),,
과일류,해당없음,해당없음,R108-029000001-0000,매실_생것,원재료성,생것,매실,매실 / 매화나무,매실,과일류,영양만 있음,,,,"흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.",,매실,100g,41.00,89.4,1.1,1.1,0.6,7.8,,,28.00,3.7,24.0,301.000,3.00,,,,,,,,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,농진청('08),,
과일류,감로,해당없음,R108-034010001-0000,멜론_감로_생것,원재료성,생것,멜론,멜론,멜론,과일류,영양+가이드,8,"일반 가정에서는 멜론을 냉장고에 보관하는 것이 좋다고 생각하기 쉽지만, 멜론은 냉장고에 장시간 넣어두면 단맛 유지에 도움이 되지 않는다. 따라서 단기간 저장할 경우에는 상온(20~25℃)에 저장하는 것이 효과적이다.",꼭지 부분을 먼저 잘라내고 멜론을 반으로 가른다. 멜론 속을 모두 파내고 너덜한 부분이 없게 한다. 반쪽으로 자른 멜론을 다시 3~4등분하여 초생달 모양으로 자른다. 초생달 모양 멜론을 바닥에 놓고 한쪽 끝을 손으로 잡은 후 과도를 껍질 있는 아래쪽으로 넣어 얇게 포를 뜨듯이 껍질과 과육을 분리한다. 과육을 먹기 좋은 크기로 자른 다음 어긋나게 배열하여 보기 좋게 플레이팅한다.,"흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.","네트 멜론은 네트가 세세하고 균일하게 형성된 것이 품질이 좋으며, 같은 크기의 멜론 중에서 가벼운 것은 먹는 부위가 적을 가능성이 있으므로 중량감이 있는 쪽을 선택한다. 멜론이 익으면 두드릴 때 소리가 높은 음에서 둔탁한 음으로 바뀌고, 밑 부분이 부드러워지면서 향기가 강해진다. 꼭지 부분이 너무 싱싱한 것보다는 약간 시든 것이 당도가 높은 경향이 있다.",멜론,100g,21.00,94.0,0.5,0.1,0.3,5.1,,1.2,9.00,0.4,8.0,137.000,13.00,,,,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=97&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=97&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=97&menuId=PS03599,농진청('10),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
과일류,모과,해당없음,R108-035000001-0000,모과_생것,원재료성,생것,모과,,모과,과일류,가이드만 있음,12,마른 모과는 밀폐용기에 담아 냉동 보관하면 장기간 보관 가능하다. 모과즙은 중탕으로 만들기도 하지만 얇게 저민 모과를 꿀이나 설탕에 재워두는 방법도 많이 사용된다. 생것으로 보관하려면 종이봉투나 신문지에 싸서 냉장 보관한다.,모과는 표면에 향을 내는 정유성분이 있고 겉껍질이 미끄럽고 단단하므로 조심해서 자른다. 말려서 보관할 때는 겉껍질을 벗기고 씨를 제거한 뒤 얇게 썰어 햇볕에 잘 말린다.,"흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.","모과는 생식이나 식용보다는 청, 차, 술, 정과 등으로 만들어 먹는 과일이므로 덜 익거나 너무 익어 가공이 불편한 것은 피한다. 색이 노랗고 향이 진하며 껍질이 얇고 붉은 기가 살짝 도는 것을 고른다. 덜 익어 딱딱한 것은 신맛과 떫은맛이 강해 좋지 않다. 표면은 미끈하고 병충해나 상처가 있거나 과육이 물러질 정도로 지나치게 익은 것도 피한다.",모과,100g,78.00,78.3,0.7,0.4,0.6,20.0,,,21.00,0.5,18.0,247.000,2.00,,,,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=148&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=148&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=148&menuId=PS03599,식약처('96),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
과일류,승정도후인,해당없음,R108-036010001-0000,무화과_승정도후인_생것,원재료성,생것,무화과,무화과,무화과,과일류,영양+가이드,9,"무화과는 일반적으로 최대 5일까지 보관할 수 있으나 구입 후 바로 먹는 것이 가장 좋다. 보관 시 1~5℃가 적당하다. 생무화과는 껍질이 약해 과육이 쉽게 무르고 변질되므로 오래 보관하기 어렵고 주로 말려서 보관한다. 냉장 보관할 때는 밀봉해서 보관하며, 좀 더 오래 보존하려면 잼이나 콩포트 등으로 만드는 것도 방법이다. 한 개씩 랩으로 싸서 밀폐 용기에 담아 냉동 보관하고 먹을 때는 실온에 20~30분 꺼내 둔 뒤 먹는다.","무화과 잎은 살충 성분과 살균 성분이 강해 재배할 때 농약을 사용하지 않는다. 충분히 익은 무화과 표면을 마른 거즈나 키친타월로 깨끗이 닦는다. 물로 씻을 때는 물기가 무화과 속으로 스며들지 않도록 조심하며, 씻은 후에는 물기를 완전히 제거한다.","흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.",무화과는 익을수록 말랑말랑해지고 부드러워지며 당도가 높아진다. 껍질과 안의 씨까지 함께 먹는 과일이므로 갈라진 부분이 없고 크기가 작은 것을 고른다. 마르거나 곰팡이가 핀 것은 피한다. 잘 익을수록 향기가 진하고 열매의 붉은색이 전체적으로 균일해지므로 적갈색이 균일한 것이 좋다. 표면에 상처 없이 둥글고 물방울 모양으로 잘 부풀어 오른 것을 고른다. 눌렀을 때 살짝 말랑한 것이 좋으며 꼭지가 마르지 않고 싱싱한지 살펴야 한다.,무화과,100g,47.00,86.5,0.79,0.15,0.44,12.12,10.59,1.3,41.00,0.33,19.0,176.000,0.00,0.0,0.0,0.03,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=106&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=106&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=106&menuId=PS03599,농진청('19),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
과일류,해당없음,해당없음,R108-037000001-0000,바나나_생것,원재료성,생것,바나나,바나나,바나나,과일류,영양만 있음,,냉장고가 아닌 실온에 보관한다. 검은 반점이 생긴 뒤 3일 안에 먹는 것이 좋다.,,"흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.",,바나나,100g,77.00,78.0,1.11,0.2,0.68,20.0,14.4,2.2,6.00,0.25,23.0,355.000,0.00,0.0,0.0,0.05,"농촌진흥청 국립원예특작과학원 보도자료(더 오래 신선하게 똑똑한 과일, 채소 보관법, 2023-09-26)",C:\Users\Playdata\Downloads\27-3_더오래신선하게똑똑한과일채소보관법(원예원).pdf,,,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,농진청(’20),,
견과 및 종실류,해당없음,해당없음,R105-014000001-0000,밤_생것,원재료성,생것,밤,깐밤 / 밤,밤,과일류,영양+가이드,12,"밤을 먼저 물로 씻어 이물질을 제거한 후 소금물에 1시간 담가둔다. 소금물은 맛을 보았을 때 짭짤한 정도가 좋으며, 소금물에 뜨는 밤은 벌레가 먹거나 썩은 밤이므로 건져낸다. 소금물에 담가둔 밤을 물로 깨끗이 씻어 물기를 제거한 후 그늘진 곳에 말린다. 지퍼백이나 비닐봉지에 담아 냉장 보관하는데, 밤에 습기가 차지 않도록 구멍을 뚫거나 신문지, 키친타월 등으로 싸서 보관해야 한다. 장기간 보관을 위해서는 밤을 삶아 냉동실에 보관한다.",깨끗이 씻어 껍질을 벗기고 물에 담가 두어 색이 변하는 것을 방지한다.,"흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.","알이 굵고 윤기가 나는 밤, 손으로 들어 봤을 때 단단하고 묵직한 밤, 껍질이 깨끗하고 구멍이 없는 밤, 물에 담갔을 때 뜨지 않고 가라앉는 밤을 고른다.",밤,100g,153.000,61.5,3.16,0.74,1.12,33.46,6.3,6.0,21.00,0.91,69.0,442.000,1.00,0.0,0.0,0.12,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=149&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=149&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=149&menuId=PS03599,농진청(’23) ,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
과일류,해당없음,해당없음,R108-038000001-0000,배_생것,원재료성,생것,배,배,배,과일류,영양+가이드,10,배는 상온에 보관하면 노화 속도가 빨라져 영양이 빠져나가고 맛도 떨어지므로 냉장 보관하는 것이 좋다. 수분이 80% 이상인 과실류를 건조한 환경에 두면 과육이 말라 품질이 떨어지므로 습도가 유지되는 공간이나 산소가 투과되는 비닐 포장으로 보관한다. 사과는 노화 호르몬인 에틸렌 가스를 많이 배출하므로 배와 함께 보관할 경우 빨리 물러질 수 있어 공기가 통하지 않도록 따로 넣어 냉장 보관해야 한다.,배는 껍질에 묻은 이물질을 깨끗이 세척하고 껍질을 벗겨낸다.,"흐르는 물에 표면을 충분히 씻고, 꼭지나 움푹 들어간 부분은 잔류물이 남기 쉬우므로 특히 꼼꼼히 세척한다.",배는 과일 겉이 맑고 투명한 노란빛을 띠는 것이 좋다. 꼭지 반대부분이 튀어나와 있거나 미세하게 검은 갈라짐이 나타나는 것은 고르지 않는 것이 좋다. 껍질이 울퉁불퉁하거나 쭈글쭈글하지 않고 매끄러운 것을 골라야 한다.,배,100g,45.00,86.9,0.29,0.04,0.52,12.24,8.3,1.1,2.00,0.06,13.0,124.000,0.00,0.0,0.0,0.01,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=107&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=107&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=107&menuId=PS03599,농진청('14),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
