ingredient_id,alias_id,relationship
ingredient_0115,alias_0250,HAS_ALIAS
ingredient_0115,alias_0251,HAS_ALIAS
ingredient_0115,alias_0252,HAS_ALIAS
ingredient_0115,alias_0253,HAS_ALIAS
ingredient_0115,alias_0254,HAS_ALIAS
ingredient_0116,alias_0255,HAS_ALIAS
ingredient_0116,alias_0256,HAS_ALIAS
ingredient_0116,alias_0257,HAS_ALIAS
ingredient_0117,alias_0258,HAS_ALIAS
ingredient_0118,alias_0259,HAS_ALIAS
ingredient_0119,alias_0260,HAS_ALIAS
ingredient_0119,alias_0261,HAS_ALIAS
ingredient_0120,alias_0262,HAS_ALIAS
ingredient_0120,alias_0263,HAS_ALIAS
ingredient_0120,alias_0264,HAS_ALIAS
ingredient_0120,alias_0265,HAS_ALIAS
ingredient_0121,alias_0266,HAS_ALIAS
ingredient_0121,alias_0267,HAS_ALIAS
ingredient_0122,alias_0268,HAS_ALIAS
ingredient_0122,alias_0269,HAS_ALIAS
ingredient_0122,alias_0270,HAS_ALIAS
ingredient_0123,alias_0271,HAS_ALIAS
ingredient_0123,alias_0272,HAS_ALIAS
ingredient_0123,alias_0273,HAS_ALIAS
ingredient_0123,alias_0274,HAS_ALIAS
ingredient_0123,alias_0275,HAS_ALIAS
ingredient_0123,alias_0276,HAS_ALIAS
ingredient_0124,alias_0277,HAS_ALIAS
ingredient_0124,alias_0278,HAS_ALIAS
ingredient_0125,alias_0279,HAS_ALIAS
ingredient_0125,alias_0280,HAS_ALIAS
ingredient_0125,alias_0281,HAS_ALIAS
ingredient_0126,alias_0282,HAS_ALIAS
ingredient_0126,alias_0283,HAS_ALIAS
ingredient_0126,alias_0284,HAS_ALIAS
ingredient_0126,alias_0285,HAS_ALIAS
ingredient_0126,alias_0286,HAS_ALIAS
ingredient_0127,alias_0287,HAS_ALIAS
ingredient_0128,alias_0288,HAS_ALIAS
ingredient_0129,alias_0289,HAS_ALIAS
ingredient_0129,alias_0290,HAS_ALIAS
ingredient_0129,alias_0291,HAS_ALIAS
ingredient_0129,alias_0292,HAS_ALIAS
ingredient_0129,alias_0293,HAS_ALIAS
ingredient_0129,alias_0294,HAS_ALIAS
ingredient_0130,alias_0295,HAS_ALIAS
ingredient_0131,alias_0296,HAS_ALIAS
ingredient_0132,alias_0297,HAS_ALIAS
ingredient_0133,alias_0298,HAS_ALIAS
ingredient_0133,alias_0299,HAS_ALIAS
ingredient_0133,alias_0300,HAS_ALIAS
ingredient_0133,alias_0301,HAS_ALIAS
ingredient_0133,alias_0302,HAS_ALIAS
ingredient_0134,alias_0303,HAS_ALIAS
ingredient_0134,alias_0304,HAS_ALIAS
ingredient_0134,alias_0305,HAS_ALIAS
ingredient_0134,alias_0306,HAS_ALIAS
ingredient_0134,alias_0307,HAS_ALIAS
ingredient_0134,alias_0308,HAS_ALIAS
ingredient_0135,alias_0309,HAS_ALIAS
ingredient_0136,alias_0310,HAS_ALIAS
ingredient_0136,alias_0311,HAS_ALIAS
ingredient_0136,alias_0312,HAS_ALIAS
ingredient_0136,alias_0313,HAS_ALIAS
ingredient_0137,alias_0291,HAS_ALIAS
ingredient_0137,alias_0293,HAS_ALIAS
ingredient_0137,alias_0314,HAS_ALIAS
ingredient_0138,alias_0315,HAS_ALIAS
ingredient_0139,alias_0212,HAS_ALIAS
ingredient_0139,alias_0213,HAS_ALIAS
ingredient_0139,alias_0214,HAS_ALIAS
ingredient_0139,alias_0215,HAS_ALIAS
ingredient_0139,alias_0216,HAS_ALIAS
ingredient_0139,alias_0217,HAS_ALIAS
ingredient_0139,alias_0218,HAS_ALIAS
ingredient_0139,alias_0219,HAS_ALIAS
ingredient_0139,alias_0220,HAS_ALIAS
ingredient_0139,alias_0222,HAS_ALIAS
ingredient_0139,alias_0223,HAS_ALIAS
ingredient_0139,alias_0316,HAS_ALIAS
ingredient_0139,alias_0224,HAS_ALIAS
ingredient_0140,alias_0317,HAS_ALIAS
ingredient_0141,alias_0318,HAS_ALIAS
ingredient_0142,alias_0319,HAS_ALIAS
ingredient_0143,alias_0320,HAS_ALIAS
ingredient_0143,alias_0321,HAS_ALIAS
ingredient_0143,alias_0322,HAS_ALIAS
ingredient_0143,alias_0323,HAS_ALIAS
ingredient_0143,alias_0324,HAS_ALIAS
ingredient_0145,alias_0325,HAS_ALIAS
ingredient_0145,alias_0326,HAS_ALIAS
ingredient_0145,alias_0327,HAS_ALIAS
ingredient_0146,alias_0328,HAS_ALIAS
ingredient_0146,alias_0329,HAS_ALIAS
ingredient_0146,alias_0330,HAS_ALIAS
ingredient_0146,alias_0331,HAS_ALIAS
ingredient_0146,alias_0332,HAS_ALIAS
ingredient_0146,alias_0333,HAS_ALIAS
ingredient_0146,alias_0334,HAS_ALIAS
ingredient_0148,alias_0335,HAS_ALIAS
ingredient_0148,alias_0336,HAS_ALIAS
ingredient_0148,alias_0337,HAS_ALIAS
ingredient_0148,alias_0338,HAS_ALIAS
ingredient_0148,alias_0339,HAS_ALIAS
ingredient_0149,alias_0340,HAS_ALIAS
ingredient_0150,alias_0341,HAS_ALIAS
ingredient_0151,alias_0304,HAS_ALIAS
ingredient_0151,alias_0342,HAS_ALIAS
ingredient_0151,alias_0343,HAS_ALIAS
ingredient_0152,alias_0344,HAS_ALIAS
ingredient_0154,alias_0335,HAS_ALIAS
ingredient_0154,alias_0336,HAS_ALIAS
ingredient_0154,alias_0338,HAS_ALIAS
ingredient_0154,alias_0345,HAS_ALIAS
ingredient_0154,alias_0339,HAS_ALIAS
ingredient_0155,alias_0346,HAS_ALIAS
ingredient_0155,alias_0347,HAS_ALIAS
ingredient_0155,alias_0335,HAS_ALIAS
ingredient_0155,alias_0348,HAS_ALIAS
ingredient_0155,alias_0336,HAS_ALIAS
