RCP_SNO,CKG_NM,CRAWL_COMMENT_CNT,CRAWL_COOK_REVIEW_CNT
7018243,잡채,0.0,
7018248,갓김치 들기름무침,0.0,
7018252,산적꼬치,0.0,
7018258,대패삼겹살 청경채볶음,0.0,
7018259,배추된장국,1.0,3.0
7018264,노바시 새우튀김,0.0,
7018265,대패삼겹살 부추무침,0.0,1.0
7018266,얼큰 만두전골,0.0,
7018269,돼지불백,0.0,2.0
7018270,들깨가루 무나물,0.0,2.0
7018273,목살김치 두루치기,0.0,1.0
7018278,간장오뎅볶음,1.0,9.0
7018283,똠양꿍,0.0,
7018286,돼지꼬리찜,0.0,
7018288,우삼겹 알배추찜,8.0,11.0
7018291,자반고등어 무조림,0.0,3.0
7018293,두부김치찌개,0.0,
7018298,삼겹살애호박찌개,0.0,1.0
7018301,홍어삼합,0.0,
7018306,무장아찌무침,0.0,
7018309,두부 계란국,0.0,3.0
7018313,노바시새우전,0.0,
7018314,딸기 요거트 스무디,2.0,
7018317,전주비빔밥 삼각김밥,0.0,
7018321,아기애호박볶음 나물,0.0,
7018325,오징어 제육볶음,0.0,
7018326,고구마 스프,0.0,
7018329,시금치 리조또,0.0,1.0
7018332,아기 순두부국,0.0,1.0
7018337,부추 겉절이,0.0,
7018339,충무김밥,0.0,
7018342,오코노미야끼,0.0,1.0
7018345,참치김치전,0.0,
7018347,베이컨 야끼소바,0.0,
7018349,도미 매운탕,0.0,
7018373,낙지 미역국,0.0,
7018374,순두부김치찌개,0.0,
7018382,팟타이,0.0,
7018390,꽁치 통조림김치찌개,0.0,
7018391,계란튀김,0.0,
7018395,안동 식혜,0.0,
7018398,소고기 배추된장국,0.0,
7018399,고구마 당근스프,0.0,
7018428,고구마 휘낭시에,0.0,
7018429,김치 어묵전골,0.0,
7018446,연근샐러드,0.0,
7018452,토마토 스파게티,0.0,
7018456,아귀탕,0.0,
7018458,시금치오믈렛,0.0,1.0
7018464,공심채볶음,0.0,
7018467,당면 떡볶이,0.0,
